model,dataset,variant,layer,layer_type,numel,trace_raw,trace_per_param,elev_raw,elev_per_param,raw_vs_numel_slope,raw_vs_numel_r2
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,conv,131072,35.836299896240234,0.0002734092704486102,2.579807682628521,4.113902044396737,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,conv,65536,3.247159231792797,4.954771777027583e-05,0.23375868482940287,0.745528698042603,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,conv,147456,8.33104121685028,5.649848915507189e-05,0.5997406037385044,0.8501147369985187,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.1.conv3,conv,65536,9.973119537035624,0.00015217772731072424,0.7179516433312478,2.2897697011810303,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv1,conv,65536,4.260987505768284,6.501750954846625e-05,0.3067428371453728,0.9782977183405134,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv2,conv,147456,8.420691633224488,5.7106469951880476e-05,0.6061944182668644,0.859262830034431,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.2.conv3,conv,65536,7.813945063522884,0.00011923133947025885,0.5625155377335278,1.7940359169169227,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv1,conv,65536,5.744938674180404,8.76608074063172e-05,0.41357051288197433,1.3190041954707616,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv2,conv,147456,16.144821848188126,0.00010948908045917512,1.1622443042171966,1.6474472544440713,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer2.3.conv3,conv,65536,10.055952571687245,0.00015344165911388008,0.7239146835945677,2.308787679687937,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,conv,131072,40.228747407595314,0.0003069209854705453,2.896014151157523,4.618142126358013,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,conv,589824,40.050329440977514,6.790216986927883e-05,2.883170078462176,1.0217022816594867,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.conv3,conv,262144,28.273650429465555,0.00010785541698251936,2.0353825814908135,1.622866041431641,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,conv,524288,40.26693051656087,7.680307486831831e-05,2.898762902511351,1.1556313587988525,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,conv,262144,7.833485970130334,2.9882377510567985e-05,0.5639222616737054,0.44963059859108595,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,conv,589824,19.310064951578777,3.2738689764368314e-05,1.390105955647646,0.4926086175919203,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.1.conv3,conv,262144,13.877839830186632,5.293975765299466e-05,0.9990472765286728,0.7965676397189246,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.2.conv1,conv,262144,12.293230152130127,4.68949514470296e-05,0.8849733282345138,0.705613369704968,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.2.conv2,conv,589824,25.189337253570557,4.27065315307118e-05,1.8133469681645311,0.642591551797113,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.2.conv3,conv,262144,13.73276142279307,5.238632744900921e-05,0.9886032744676037,0.7882403520455002,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv1,conv,262144,17.979613939921062,6.858678413361001e-05,1.2943285525347883,1.0320034540265903,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv2,conv,589824,32.020370960235596,5.428800957613728e-05,2.3051040214254273,0.8168543561637527,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.3.conv3,conv,262144,14.970376551151276,5.710745449505339e-05,1.0776975455145639,0.8592776441413749,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv1,conv,262144,18.296778893470766,6.979667241466814e-05,1.3171608367325742,1.0502082569024032,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv2,conv,589824,32.090012369929134,5.440608108508493e-05,2.3101174141104046,0.8186309404809111,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.4.conv3,conv,262144,16.449838383992514,6.275115350338941e-05,1.1842020399397803,0.9441965821505283,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv1,conv,262144,15.315138101577759,5.842261543875793e-05,1.1025164721068843,0.8790664511783103,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv2,conv,589824,13.904308535018057,2.3573656777306548e-05,1.0009527234713271,0.35470529090306263,0.3034779138507241,0.37797555323256643
resnet50_no_weights,CIFAR10,fp32_unfused,layer3.5.conv3,conv,262144,5.904531534980325,2.252400030128603e-05,0.4250593911862743,0.3389114448658387,0.3034779138507241,0.37797555323256643
