model,dataset,stage,layer,hessian_trace,fp32_acc,isolated_acc,weight_damage_pts,leave_one_out_acc,leave_one_out_recovery_pts
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv2,4.435404939651489,80.56,80.63,-0.06999999999999318,84.52,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv3,4.380026851381574,80.56,80.51,0.04999999999999716,84.41,-0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv1,26.18812153074477,80.56,80.41,0.15000000000000568,84.48,0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv2,8.309277534484863,80.56,80.53,0.030000000000001137,84.46,0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv3,6.350637594858806,80.56,80.43,0.12999999999999545,84.41,-0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0,52.98683420817057,80.56,80.96,-0.3999999999999915,84.37,-0.06999999999999318
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv1,20.37580736945657,80.56,80.57,-0.009999999999990905,84.55,0.10999999999999943
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2,54.19021253232603,80.56,80.53,0.030000000000001137,84.47,0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv3,15.213810744108978,80.56,80.43,0.12999999999999545,84.42,-0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv1,23.551600138346355,80.56,80.45,0.10999999999999943,84.42,-0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv2,7.929142288539721,80.56,80.4,0.1599999999999966,84.44,0.0
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv3,4.685463322533502,80.56,80.37,0.18999999999999773,84.43,-0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,fc,4.51448903823721,80.56,80.79,-0.23000000000000398,84.4,-0.03999999999999204
