model,dataset,stage,layer,eigenvalue
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv2.weight,2.1378936767578125
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv3.weight,1.36674165725708
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv1.weight,3.1376729011535645
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv2.weight,3.4520699977874756
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv3.weight,1.9422986507415771
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv1.weight,3.383880138397217
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv2.weight,1.5510257482528687
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv3.weight,1.266906499862671
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv1.weight,3.028111219406128
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv2.weight,0.5340044498443604
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv3.weight,0.669651448726654
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,6.955282688140869
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,1.4556546211242676
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv3.weight,1.2533748149871826
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,3.3381643295288086
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,3.211886167526245
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,5.272994041442871
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv3.weight,1.4699130058288574
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv1.weight,5.190549373626709
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv2.weight,0.9011551141738892
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv3.weight,0.716698408126831
resnet50_no_weights,CIFAR10,QAT,fc.weight,1.0419317483901978
