model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.2.conv1,layer3.2.conv1,"(256, 1024, 1, 1)",25.70637910262398
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.2.conv2,layer3.2.conv2,"(256, 256, 3, 3)",19.650700702223666
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.2.conv3,layer3.2.conv3,"(1024, 256, 1, 1)",13.30765796744305
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.3.conv1,layer3.3.conv1,"(256, 1024, 1, 1)",42.1537202835083
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.3.conv2,layer3.3.conv2,"(256, 256, 3, 3)",33.682958126068115
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.3.conv3,layer3.3.conv3,"(1024, 256, 1, 1)",15.964169144630432
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.4.conv1,layer3.4.conv1,"(256, 1024, 1, 1)",52.762328147888184
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.4.conv2,layer3.4.conv2,"(256, 256, 3, 3)",21.05850132651951
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.4.conv3,layer3.4.conv3,"(1024, 256, 1, 1)",19.379797486697925
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.5.conv1,layer3.5.conv1,"(256, 1024, 1, 1)",51.91609398978097
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.5.conv2,layer3.5.conv2,"(256, 256, 3, 3)",7.486143704118399
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.5.conv3,layer3.5.conv3,"(1024, 256, 1, 1)",6.779666939297238
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer4.0.conv1,layer4.0.conv1,"(512, 1024, 1, 1)",59.88216445559547
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer4.0.conv2,layer4.0.conv2,"(512, 512, 3, 3)",16.01993826031685
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer4.0.conv3,layer4.0.conv3,"(2048, 512, 1, 1)",11.836838790348597
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer4.0.downsample.0,layer4.0.downsample.0,"(2048, 1024, 1, 1)",90.72897017629523
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer4.1.conv1,layer4.1.conv1,"(512, 2048, 1, 1)",31.665040493011475
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer4.1.conv2,layer4.1.conv2,"(512, 512, 3, 3)",94.88663882300968
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer4.1.conv3,layer4.1.conv3,"(2048, 512, 1, 1)",22.48050159878201
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer4.2.conv1,layer4.2.conv1,"(512, 2048, 1, 1)",40.706591899578385
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer4.2.conv2,layer4.2.conv2,"(512, 512, 3, 3)",11.108319432394845
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer4.2.conv3,layer4.2.conv3,"(2048, 512, 1, 1)",5.64502477645874
resnet50_no_weights,CIFAR10,fp32_fused,20260811,fc,fc,"(10, 2048)",5.122285167376201
resnet50_no_weights,CIFAR10,qat,20260811,conv1,conv1,"(64, 3, 3, 3)",95.70584377165764
resnet50_no_weights,CIFAR10,qat,20260811,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",1.2046397972106933
resnet50_no_weights,CIFAR10,qat,20260811,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",2.5616895430015796
resnet50_no_weights,CIFAR10,qat,20260811,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",1.019596579399976
resnet50_no_weights,CIFAR10,qat,20260811,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",2.950114618986845
resnet50_no_weights,CIFAR10,qat,20260811,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",2.066444754600525
resnet50_no_weights,CIFAR10,qat,20260811,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",1.8810378529808738
resnet50_no_weights,CIFAR10,qat,20260811,layer1.1.conv3,layer1.1.conv3,"(256, 64, 1, 1)",0.8040062275372053
resnet50_no_weights,CIFAR10,qat,20260811,layer1.2.conv1,layer1.2.conv1,"(64, 256, 1, 1)",3.512834952937232
resnet50_no_weights,CIFAR10,qat,20260811,layer1.2.conv2,layer1.2.conv2,"(64, 64, 3, 3)",6.119126811623573
resnet50_no_weights,CIFAR10,qat,20260811,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",2.3567123521458018
resnet50_no_weights,CIFAR10,qat,20260811,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",16.6989257552407
resnet50_no_weights,CIFAR10,qat,20260811,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",23.860833544480172
