model,dataset,variant,layer,per_param_residual,matched_count_ratio
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.3.conv2,-0.26676395644432116,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.3.conv3,-0.02454225108638175,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.0.conv1,0.38599335530698653,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.0.conv2,0.19713618465935712,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.0.conv3,0.6304615137670853,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.0.downsample.0,0.5691555734185361,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.1.conv1,-0.20779682045552494,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.1.conv2,-0.30775889965620973,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.1.conv3,0.08854952689473983,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.2.conv1,-0.16622067363546478,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.2.conv2,-0.42591864013093517,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.2.conv3,0.12153239604816601,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.3.conv1,-0.15653874224057907,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.3.conv2,-0.2040682210310507,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.3.conv3,0.3302320569960493,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.4.conv1,-0.20256745673411558,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.4.conv2,-0.2935739347933142,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.4.conv3,0.2669140225362341,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.5.conv1,-0.09374952327941344,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.5.conv2,-0.23122064353730298,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer3.5.conv3,0.31875276707202227,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer4.0.conv1,0.37490234145490486,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer4.0.conv2,0.1333343407386849,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer4.0.conv3,0.8445315265044231,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer4.0.downsample.0,0.07190357809946235,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer4.1.conv1,-0.2245857704952252,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer4.1.conv2,0.10944316555240796,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer4.1.conv3,0.73904314341359,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer4.2.conv1,-0.18995558579516647,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer4.2.conv2,-0.07053815973195832,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer4.2.conv3,0.12688679910346767,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,fc,-0.4313713350462849,1.0
resnet50_no_weights,IMAGENET100,ptq,conv1,2.4813625850439256,1.0
resnet50_no_weights,IMAGENET100,ptq,layer1.0.conv1,0.6631368485740381,1.0
resnet50_no_weights,IMAGENET100,ptq,layer1.0.conv2,0.516327113771164,1.0
resnet50_no_weights,IMAGENET100,ptq,layer1.0.conv3,0.6113616569564821,1.0
resnet50_no_weights,IMAGENET100,ptq,layer1.0.downsample.0,0.6357237502608215,1.0
resnet50_no_weights,IMAGENET100,ptq,layer1.1.conv1,-0.3515292911667598,1.0
resnet50_no_weights,IMAGENET100,ptq,layer1.1.conv2,-0.7303581812420141,1.0
resnet50_no_weights,IMAGENET100,ptq,layer1.1.conv3,-0.49728336447636945,1.0
resnet50_no_weights,IMAGENET100,ptq,layer1.2.conv1,-0.47831350576875176,1.0
resnet50_no_weights,IMAGENET100,ptq,layer1.2.conv2,-1.179511120143414,1.0
resnet50_no_weights,IMAGENET100,ptq,layer1.2.conv3,-0.8046420657034932,1.0
resnet50_no_weights,IMAGENET100,ptq,layer2.0.conv1,-0.26196720212627955,1.0
resnet50_no_weights,IMAGENET100,ptq,layer2.0.conv2,-0.3771064388916323,1.0
resnet50_no_weights,IMAGENET100,ptq,layer2.0.conv3,0.10526563947084311,1.0
resnet50_no_weights,IMAGENET100,ptq,layer2.0.downsample.0,0.2799858789900709,1.0
resnet50_no_weights,IMAGENET100,ptq,layer2.1.conv1,-0.19208710890123948,1.0
resnet50_no_weights,IMAGENET100,ptq,layer2.1.conv2,-0.5156028870110685,1.0
resnet50_no_weights,IMAGENET100,ptq,layer2.1.conv3,-0.0813911765643951,1.0
resnet50_no_weights,IMAGENET100,ptq,layer2.2.conv1,-0.5703353829840481,1.0
resnet50_no_weights,IMAGENET100,ptq,layer2.2.conv2,-0.8228037923178233,1.0
resnet50_no_weights,IMAGENET100,ptq,layer2.2.conv3,-0.12673388932501162,1.0
resnet50_no_weights,IMAGENET100,ptq,layer2.3.conv1,-0.02480296083673883,1.0
