model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",39.245386654291394,aggregate,3,1.4278372296097337
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.0.conv3,layer3.0.conv3,"(1024, 256, 1, 1)",28.464024437798393,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.0.conv3,layer3.0.conv3,"(1024, 256, 1, 1)",29.926894075730267,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.0.conv3,layer3.0.conv3,"(1024, 256, 1, 1)",26.578703353279515,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.0.conv3,layer3.0.conv3,"(1024, 256, 1, 1)",28.323207288936057,aggregate,3,1.6785313165194775
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",38.54027856564989,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",39.88483031252597,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",38.41607157389323,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",38.947060150689694,aggregate,3,0.8145038376356085
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",7.9166053802736345,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",7.311792638566759,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",8.431212295185436,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",7.886536771341943,aggregate,3,0.560315253083819
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",18.989897476999385,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",20.56933036927254,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",19.637381841970043,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",19.73220322941399,aggregate,3,0.793974424610882
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",15.381376382781237,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",13.926983805263744,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",12.921344871520995,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",14.076568353188659,aggregate,3,1.2368186657031675
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.2.conv1,layer3.2.conv1,"(256, 1024, 1, 1)",13.21784139934339,42,3,
