model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99
cnn,CIFAR10,QAT,fc1,-2.726262331008911,4.269510269165039,6.99577260017395,0.027434401214122772,99,0.9426741003990173,1.9231276512145996,3.7822601795196533,4.012266994413753,7.421199539918157
cnn,CIFAR10,QAT,fc2,-10.82536792755127,24.74535369873047,35.57072162628174,0.13949301838874817,78,15.434490203857422,21.812686920166016,21.95395278930664,1.422395718895844,2.304625624589261
resnet18_no_weights,CIFAR10,PTQ,conv1,-3.6338045597076416,4.784788131713867,8.418592691421509,0.03301408886909485,110,0.9711871147155762,1.5859901905059814,3.7324461936950684,3.843179277340557,8.668352950591807
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,-5.668947696685791,3.96222186088562,9.631169557571411,0.037769291549921036,150,0.7253119945526123,1.211524486541748,3.6685943603515625,5.057953526074567,13.278657501744638
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,-5.055909156799316,4.219723701477051,9.275632858276367,0.036375030875205994,139,0.8319026231765747,1.467902660369873,3.8103630542755127,4.580299362112659,11.149902163858878
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,-4.983292102813721,3.6435205936431885,8.62681269645691,0.033830638974905014,147,0.6996167898178101,1.3823107481002808,3.5231313705444336,5.035801630006487,12.330768532160944
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,-4.112923622131348,3.0338993072509766,7.146822929382324,0.028026755899190903,147,0.69304358959198,1.172090768814087,3.0202219486236572,4.357910518156256,10.312227162493372
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,-2.089714288711548,2.0637571811676025,4.15347146987915,0.01628812402486801,128,0.5068954229354858,0.8158295154571533,1.7960516214370728,3.5432389802139954,8.19394155470166
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,-2.5791499614715576,3.134150981903076,5.713300943374634,0.022405100986361504,115,0.6200724840164185,1.0224357843399048,3.790541887283325,6.113062561219792,9.21392432440746
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,-2.3921070098876953,4.91558313369751,7.307690143585205,0.02865760773420334,83,0.6571871042251587,1.2466824054718018,4.32327938079834,6.578460461264837,11.119649330613644
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,-2.148871421813965,2.2549848556518555,4.40385627746582,0.017270024865865707,124,0.46917465329170227,0.8066980838775635,1.7314289808273315,3.69037195142518,9.38639000757739
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2,-2.857996940612793,4.271207809448242,7.129204750061035,0.02795766480267048,102,0.46489718556404114,0.7870423197746277,3.1447646617889404,6.76443041480994,15.335013786782676
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,-1.7662436962127686,2.0620040893554688,3.8282477855682373,0.015012736432254314,118,0.4893755614757538,0.8041185140609741,1.8560824394226074,3.7927566996305093,7.82271957762629
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,-2.221353054046631,3.029755115509033,5.251108169555664,0.0205925814807415,108,0.5649500489234924,0.9364674687385559,2.3667967319488525,4.189391144329952,9.294818505745077
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,-1.4591569900512695,1.8843601942062378,3.3435171842575073,0.013111832551658154,111,0.3594849705696106,0.6171305179595947,1.7583414316177368,4.891279401282374,9.300853882596655
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,-2.061915636062622,2.1325125694274902,4.194428205490112,0.016448739916086197,125,0.37329185009002686,0.6628628969192505,1.9393234252929688,5.195193585997824,11.23632408389988
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,-1.9749188423156738,2.3099498748779297,4.2848687171936035,0.016803406178951263,118,0.3841173052787781,0.6888479590415955,2.102280855178833,5.473017815880687,11.15510459515435
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,-1.5108805894851685,1.9338736534118652,3.4447542428970337,0.013508839532732964,112,0.3565250337123871,0.6149430274963379,1.4389132261276245,4.035938826355775,9.66202627352097
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,-1.9911167621612549,2.9393489360809326,4.9304656982421875,0.01933516003191471,103,0.39493855834007263,0.7232496738433838,2.017418146133423,5.108182281853244,12.484133529440484
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,-1.730907917022705,1.9465829133987427,3.6774908304214478,0.014421531930565834,120,0.39560210704803467,0.6856456398963928,1.675891637802124,4.236306146869523,9.2959333757414
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,-1.4418481588363647,2.135125160217285,3.57697331905365,0.014027346856892109,103,0.3670535385608673,0.6906155347824097,1.7287416458129883,4.709780629253671,9.745099674227747
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,-1.6483802795410156,3.47411847114563,5.1224987506866455,0.020088229328393936,82,0.9462518095970154,1.6425710916519165,3.1979992389678955,3.379649271508228,5.413462567504296
