model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv3,7.855413556098938,1.4257686138153076,5.4388756325352006e-06,11.200002096825159,80.56,80.44,0.12000000000000455
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv1,28.678074916203816,1.2493488788604736,4.765887752000708e-06,35.828920744435905,80.56,80.64,-0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv2,7.240893244743347,3.634463310241699,6.161945445152621e-06,26.316760831396664,80.56,80.63,-0.06999999999999318
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv3,6.40905882914861,1.235865831375122,4.7144540076260455e-06,7.920736818217813,80.56,80.51,0.04999999999999716
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv1,39.985557205823,2.302006244659424,4.390728463476989e-06,92.04700238399117,80.56,80.41,0.15000000000000568
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv2,10.850006272715907,10.15643310546875,4.30485751065943e-06,110.19736290275544,80.56,80.53,0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv3,8.31607076856825,4.448163032531738,4.2420988393132575e-06,36.99123856866309,80.56,80.43,0.12999999999999545
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0,44.81368269743743,8.89555549621582,4.241731403453741e-06,398.6426014248613,80.56,80.96,-0.3999999999999915
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv1,26.21326413835798,6.114408016204834,5.83115388508304e-06,160.27859237847073,80.56,80.55,0.010000000000005116
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2,64.99090853604403,11.048345565795898,4.682899291057967e-06,718.0420161412488,80.56,80.53,0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv3,19.697840881347656,5.140997886657715,4.902837645204272e-06,101.26655834272823,80.56,80.43,0.12999999999999545
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv1,51.640374546959286,5.094993591308594,4.858964530285448e-06,263.10737736953297,80.56,80.45,0.10999999999999943
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv2,16.901894187927248,9.914164543151855,4.202170708190857e-06,167.56816007005273,80.56,80.39,0.1700000000000017
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv3,7.371532256262643,4.510019302368164,4.301089575164951e-06,33.245752763774064,80.56,80.37,0.18999999999999773
resnet50_no_weights,CIFAR10,QAT,fc,5.162754283709959,1.9776588678359985,9.656537440605462e-05,10.21016679163729,80.56,80.79,-0.23000000000000398
