model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.2.conv1,layer3.2.conv1,"(256, 1024, 1, 1)",3.5952192658469793,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.2.conv1,layer3.2.conv1,"(256, 1024, 1, 1)",3.78253288269043,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.2.conv1,layer3.2.conv1,"(256, 1024, 1, 1)",3.9359180673720346,aggregate,3,0.43801921970747004
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.2.conv2,layer3.2.conv2,"(256, 256, 3, 3)",13.853326370841579,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.2.conv2,layer3.2.conv2,"(256, 256, 3, 3)",14.22430852481297,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.2.conv2,layer3.2.conv2,"(256, 256, 3, 3)",15.351163880030315,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.2.conv2,layer3.2.conv2,"(256, 256, 3, 3)",14.47626625856162,aggregate,3,0.7800585399058177
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.2.conv3,layer3.2.conv3,"(1024, 256, 1, 1)",10.124754238128663,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.2.conv3,layer3.2.conv3,"(1024, 256, 1, 1)",11.263561893911923,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.2.conv3,layer3.2.conv3,"(1024, 256, 1, 1)",14.36413849101347,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.2.conv3,layer3.2.conv3,"(1024, 256, 1, 1)",11.917484874351352,aggregate,3,2.1940387779531174
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.3.conv1,layer3.3.conv1,"(256, 1024, 1, 1)",8.973945796489716,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.3.conv1,layer3.3.conv1,"(256, 1024, 1, 1)",8.288076170285542,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.3.conv1,layer3.3.conv1,"(256, 1024, 1, 1)",6.703986517588297,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.3.conv1,layer3.3.conv1,"(256, 1024, 1, 1)",7.988669494787851,aggregate,3,1.164221649844692
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.3.conv2,layer3.3.conv2,"(256, 256, 3, 3)",12.621315479278564,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.3.conv2,layer3.3.conv2,"(256, 256, 3, 3)",14.418838955107189,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.3.conv2,layer3.3.conv2,"(256, 256, 3, 3)",13.828874667485556,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.3.conv2,layer3.3.conv2,"(256, 256, 3, 3)",13.62300970062377,aggregate,3,0.9162739491956039
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.3.conv3,layer3.3.conv3,"(1024, 256, 1, 1)",12.865072965621948,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.3.conv3,layer3.3.conv3,"(1024, 256, 1, 1)",12.602046092351278,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.3.conv3,layer3.3.conv3,"(1024, 256, 1, 1)",15.058706442515055,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.3.conv3,layer3.3.conv3,"(1024, 256, 1, 1)",13.50860850016276,aggregate,3,1.3488508098300749
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.4.conv1,layer3.4.conv1,"(256, 1024, 1, 1)",11.024894253412883,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.4.conv1,layer3.4.conv1,"(256, 1024, 1, 1)",10.536671670277913,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.4.conv1,layer3.4.conv1,"(256, 1024, 1, 1)",10.798167610168457,44,3,
