model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv1,141.5964813232422,1.0396089322739499e-08,0.06913890689611435,2.0304861958475584e-11,1.4038559604854975e-12,9.144700132690531e-08
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv2,128.02688598632812,4.1296441821714325e-08,0.02778361241022746,8.961901437003976e-12,2.48993995984379e-13,9.575786588265483e-08
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv3,17.292104721069336,3.4423661418259144e-05,0.03377364203333855,1.6808428426884348e-08,5.676818448325837e-10,1.514202923819821e-07
resnet50_no_weights,CIFAR10,ptq,fc,41.7144889831543,0.00018288973660673946,0.02036840282380581,1.8288973660673945e-05,3.7251718275458126e-07,0.0009488690751727278
resnet18_no_weights,CIFAR10,fp32_unfused,conv1,39.735809326171875,1.5487748328268935e-07,1.4716966417100694,2.6888451958800236e-10,3.957164444854884e-10,0.013404553512848376
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.0.conv1,30.65614128112793,1.2882753708254313e-07,0.053222467501958214,2.2365891854608183e-10,1.190367952384196e-11,0.0011974051183856584
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.0.conv2,18.544523239135742,1.2252382930455497e-07,0.032195352845721774,2.1271498143151904e-10,6.8484338827589105e-12,0.0016530517775640644
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.1.conv1,63.00299072265625,2.7494776233538687e-08,0.10938019222683376,4.773398651656022e-11,5.221152620934447e-12,0.001878775592543121
resnet18_no_weights,CIFAR10,fp32_unfused,layer1.1.conv2,11.86682415008545,1.1495875895661811e-07,0.020602125260565016,1.9958117874412867e-10,4.111796444137755e-12,0.0009643314980120972
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.conv1,73.78807830810547,1.4405911485937395e-07,0.12810430261823866,1.2505131498209543e-10,1.6019611497275036e-11,0.0007656026965030181
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.conv2,16.23063087463379,6.89539774612058e-07,0.014089089300897386,5.985588321285226e-10,8.433148837699602e-12,0.0004777077292264612
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.0.downsample.0,8.659172058105469,6.747583256583312e-07,0.13529956340789795,5.271549419205712e-09,7.132383349016909e-10,0.005520001795957796
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.1.conv1,68.05997467041016,1.2952230576956936e-07,0.05907983912361993,1.1243255709164007e-10,6.642497385231309e-12,0.00039518462012607406
resnet18_no_weights,CIFAR10,fp32_unfused,layer2.1.conv2,11.178726196289062,6.578665647793969e-07,0.009703755378723145,5.710647263710042e-10,5.541472410121693e-12,0.0002502301451260666
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,87.97059631347656,1.0881453818001319e-06,0.07636336485544841,4.722853219618628e-10,3.606529635684665e-11,0.00024376109749985433
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,24.416213989257812,5.203094133321429e-06,0.010597315099504259,2.2582873842540923e-09,2.3931782996175867e-11,0.00016348130237828527
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,10.769591331481934,3.556053343345411e-06,0.0841374322772026,1.3890833372443012e-08,1.1687390521478298e-09,0.001017229201915186
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,48.94765853881836,2.0283503090468002e-06,0.021244643463028803,8.803603771904515e-10,1.8702942332388696e-11,0.00015421247229265866
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,12.102622032165527,5.33065485797124e-06,0.005252874145905177,2.313652282105573e-09,1.2153324255286876e-11,9.71432065525925e-05
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,72.25875091552734,6.644718723691767e-06,0.031362305084864296,1.4419962508011648e-09,4.522432634885662e-11,4.6628485304406946e-05
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,23.23232078552246,1.644024632696528e-05,0.005041736281580395,3.5677617897060068e-09,1.798771405919698e-11,2.538664328012829e-05
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.downsample.0,9.545428276062012,1.8172386262449436e-05,0.03728682920336723,3.5492941918846554e-08,1.3234192632530648e-09,0.00021093419705079321
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.1.conv1,71.47369384765625,3.857917818095302e-06,0.015510784255133735,8.372217487185986e-10,1.298596591807997e-11,2.340652600303005e-05
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.1.conv2,25.404565811157227,2.6704190076998202e-06,0.00551314362221294,5.795180138237457e-10,3.194966041869894e-12,7.595010982994508e-06
resnet18_no_weights,CIFAR10,fp32_unfused,fc,32.71748352050781,3.681238740682602e-05,0.06390133500099182,3.6812387406826018e-06,2.352360699869882e-07,0.0008167628306322373
resnet18_no_weights,CIFAR10,fp32_fused,conv1,39.735809326171875,8.652496035210788e-07,1.4716966417100694,1.5021694505574286e-09,2.210737735664828e-09,0.13613041340078347
resnet18_no_weights,CIFAR10,fp32_fused,layer1.0.conv1,30.65614128112793,2.5442861328883737e-07,0.053222467501958214,4.4171634251534264e-10,2.3509233684606668e-11,0.0026587592531936337
resnet18_no_weights,CIFAR10,fp32_fused,layer1.0.conv2,18.54644203186035,1.2329439869063208e-07,0.03219868408309089,2.1405277550456958e-10,6.892217695580412e-12,0.001710776482655444
resnet18_no_weights,CIFAR10,fp32_fused,layer1.1.conv1,63.0016975402832,1.4559114447365573e-07,0.10937794711854723,2.5276240360009677e-10,2.7646632814528278e-11,0.010962954903435376
resnet18_no_weights,CIFAR10,fp32_fused,layer1.1.conv2,11.865986824035645,1.0657195304020206e-07,0.02060067156950633,1.8502075180590635e-10,3.811551741496621e-12,0.0011424977937556477
