model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99,seed,n_seeds,metric_std
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,-2.5791499614715576,3.134150981903076,5.713300943374634,0.022405100986361504,115,0.6290417909622192,1.0467853546142578,2.8953299522399902,4.6027624775313,9.08254590626679,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,-2.3921070098876953,4.91558313369751,7.307690143585205,0.02865760773420334,83,0.6367731094360352,1.164610505104065,4.539729118347168,7.129272657835421,11.476128679581551,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,-2.148871421813965,2.2549848556518555,4.40385627746582,0.017270024865865707,124,0.46784132719039917,0.8094277381896973,2.253936290740967,4.817736612275969,9.413140784105133,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2,-2.857996940612793,4.271207809448242,7.129204750061035,0.02795766480267048,102,0.4683067798614502,0.813361406326294,3.5090537071228027,7.493066207926705,15.22336437702275,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,-1.7662436962127686,2.0620040893554688,3.8282477855682373,0.015012736432254314,118,0.48929449915885925,0.7980803847312927,1.952340006828308,3.9901123151487585,7.82401558192323,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,-2.221353054046631,3.029755115509033,5.251108169555664,0.0205925814807415,108,0.5697143077850342,0.9338866472244263,2.3655664920806885,4.152197794149957,9.217090211357345,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,-1.4591569900512695,1.8843601942062378,3.3435171842575073,0.013111832551658154,111,0.3618134558200836,0.6184862852096558,1.8742530345916748,5.18016398904653,9.240997344001805,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,-2.061915636062622,2.1325125694274902,4.194428205490112,0.016448739916086197,125,0.38132065534591675,0.6721712350845337,1.7373400926589966,4.556113256133373,10.999740367290405,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,-1.9749188423156738,2.3099498748779297,4.2848687171936035,0.016803406178951263,118,0.3891420364379883,0.6769510507583618,1.6909338235855103,4.345286978151919,11.011066181426068,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,-1.5108805894851685,1.9338736534118652,3.4447542428970337,0.013508839532732964,112,0.3629632890224457,0.6237335801124573,1.7837272882461548,4.914346277416086,9.490640919015945,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,-1.9911167621612549,2.9393489360809326,4.9304656982421875,0.01933516003191471,103,0.3990216851234436,0.7133234143257141,1.9928820133209229,4.994420322555636,12.356385334588698,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,-1.730907917022705,1.9465829133987427,3.6774908304214478,0.014421531930565834,120,0.40039053559303284,0.6937984824180603,1.6962841749191284,4.236574104846661,9.1847596371742,44,3,
