model,dataset,init,seed,n_seeds,layer,hessian_trace
resnet50_no_weights,CIFAR10,random,43,3,layer2.0.conv1.weight,46.31729793548584
resnet50_no_weights,CIFAR10,random,43,3,layer2.0.conv2.weight,504.7373645710495
resnet50_no_weights,CIFAR10,random,43,3,layer2.0.conv3.weight,213.73815096341647
resnet50_no_weights,CIFAR10,random,43,3,layer2.0.downsample.0.weight,214.37278906504312
resnet50_no_weights,CIFAR10,random,43,3,layer2.1.conv1.weight,67.47549542513761
resnet50_no_weights,CIFAR10,random,43,3,layer2.1.conv2.weight,675.1962305704752
resnet50_no_weights,CIFAR10,random,43,3,layer2.1.conv3.weight,314.1841303507487
resnet50_no_weights,CIFAR10,random,43,3,layer2.2.conv1.weight,125.38509063720703
resnet50_no_weights,CIFAR10,random,43,3,layer2.2.conv2.weight,1028.8738347833807
resnet50_no_weights,CIFAR10,random,43,3,layer2.2.conv3.weight,472.3125244140625
resnet50_no_weights,CIFAR10,random,43,3,layer2.3.conv1.weight,131.72973658243816
resnet50_no_weights,CIFAR10,random,43,3,layer2.3.conv2.weight,754.6472896999783
resnet50_no_weights,CIFAR10,random,43,3,layer2.3.conv3.weight,527.0404139927456
resnet50_no_weights,CIFAR10,random,43,3,layer3.0.conv1.weight,217.26849530194258
resnet50_no_weights,CIFAR10,random,43,3,layer3.0.conv2.weight,1849.4351405552454
resnet50_no_weights,CIFAR10,random,43,3,layer3.0.conv3.weight,892.9862899780273
resnet50_no_weights,CIFAR10,random,43,3,layer3.0.downsample.0.weight,922.5762685139974
resnet50_no_weights,CIFAR10,random,43,3,layer3.1.conv1.weight,260.3399816659781
resnet50_no_weights,CIFAR10,random,43,3,layer3.1.conv2.weight,2148.568128797743
resnet50_no_weights,CIFAR10,random,43,3,layer3.1.conv3.weight,1018.9206553867886
resnet50_no_weights,CIFAR10,random,43,3,layer3.2.conv1.weight,349.727321230132
resnet50_no_weights,CIFAR10,random,43,3,layer3.2.conv2.weight,2622.760313452744
resnet50_no_weights,CIFAR10,random,43,3,layer3.2.conv3.weight,1640.7676656971807
resnet50_no_weights,CIFAR10,random,43,3,layer3.3.conv1.weight,395.08737463700146
resnet50_no_weights,CIFAR10,random,43,3,layer3.3.conv2.weight,4433.464754971591
resnet50_no_weights,CIFAR10,random,43,3,layer3.3.conv3.weight,2003.711890326606
resnet50_no_weights,CIFAR10,random,43,3,layer3.4.conv1.weight,624.2208192825317
resnet50_no_weights,CIFAR10,random,43,3,layer3.4.conv2.weight,9384.002644856771
resnet50_no_weights,CIFAR10,random,43,3,layer3.4.conv3.weight,2970.501850128174
resnet50_no_weights,CIFAR10,random,43,3,layer3.5.conv1.weight,733.3425044307003
resnet50_no_weights,CIFAR10,random,43,3,layer3.5.conv2.weight,8728.732530628551
resnet50_no_weights,CIFAR10,random,43,3,layer3.5.conv3.weight,2918.669279454118
resnet50_no_weights,CIFAR10,random,43,3,layer4.0.conv1.weight,2424.1508325195314
resnet50_no_weights,CIFAR10,random,43,3,layer4.0.conv2.weight,17794.30907367027
resnet50_no_weights,CIFAR10,random,43,3,layer4.0.conv3.weight,10805.022206182066
resnet50_no_weights,CIFAR10,random,43,3,layer4.0.downsample.0.weight,12371.062794712612
resnet50_no_weights,CIFAR10,random,43,3,layer4.1.conv1.weight,2424.5866914367675
resnet50_no_weights,CIFAR10,random,43,3,layer4.1.conv2.weight,22527.78773498535
resnet50_no_weights,CIFAR10,random,43,3,layer4.1.conv3.weight,7871.138730972532
resnet50_no_weights,CIFAR10,random,43,3,layer4.2.conv1.weight,2339.4672030596666
resnet50_no_weights,CIFAR10,random,43,3,layer4.2.conv2.weight,41177.82364169034
resnet50_no_weights,CIFAR10,random,43,3,layer4.2.conv3.weight,20333.195930249763
resnet50_no_weights,CIFAR10,random,43,3,fc.weight,404760.85750105575
resnet50_no_weights,CIFAR10,random,44,3,conv1.weight,0.6953005082905293
resnet50_no_weights,CIFAR10,random,44,3,layer1.0.conv1.weight,0.11887426267970692
resnet50_no_weights,CIFAR10,random,44,3,layer1.0.conv2.weight,1.2801159329192584
resnet50_no_weights,CIFAR10,random,44,3,layer1.0.conv3.weight,0.6528495407622793
resnet50_no_weights,CIFAR10,random,44,3,layer1.0.downsample.0.weight,0.5433876449015083
resnet50_no_weights,CIFAR10,random,44,3,layer1.1.conv1.weight,0.18304034024477006
resnet50_no_weights,CIFAR10,random,44,3,layer1.1.conv2.weight,1.9104393670956294
resnet50_no_weights,CIFAR10,random,44,3,layer1.1.conv3.weight,0.49012505759795505
resnet50_no_weights,CIFAR10,random,44,3,layer1.2.conv1.weight,0.22016964334508646
resnet50_no_weights,CIFAR10,random,44,3,layer1.2.conv2.weight,1.5168090076059908
resnet50_no_weights,CIFAR10,random,44,3,layer1.2.conv3.weight,0.8295028791871182
resnet50_no_weights,CIFAR10,random,44,3,layer2.0.conv1.weight,0.3222102153301239
resnet50_no_weights,CIFAR10,random,44,3,layer2.0.conv2.weight,3.5969202717145285
resnet50_no_weights,CIFAR10,random,44,3,layer2.0.conv3.weight,1.3756413810393389
resnet50_no_weights,CIFAR10,random,44,3,layer2.0.downsample.0.weight,1.3840623452113225
resnet50_no_weights,CIFAR10,random,44,3,layer2.1.conv1.weight,0.4168359028585887
resnet50_no_weights,CIFAR10,random,44,3,layer2.1.conv2.weight,2.8172907141538768
resnet50_no_weights,CIFAR10,random,44,3,layer2.1.conv3.weight,1.304030431755658
resnet50_no_weights,CIFAR10,random,44,3,layer2.2.conv1.weight,0.4512656101158687
resnet50_no_weights,CIFAR10,random,44,3,layer2.2.conv2.weight,4.317150052855997
resnet50_no_weights,CIFAR10,random,44,3,layer2.2.conv3.weight,1.6163365013069577
resnet50_no_weights,CIFAR10,random,44,3,layer2.3.conv1.weight,0.5029568473498026
