model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,ptq,layer4.2.conv1,4.335091590881348,0.0002710583503358066,0.002116743940860033,5.294108404996223e-07,1.1206271888531928e-09,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.2.conv1,4.430220444997151,0.00032065686536952853,0.0021631935766587653,6.262829401748604e-07,1.354771233357224e-09,6.738215152454095e-05,aggregate,3,0.08937441335741982
resnet50_no_weights,IMAGENET100,ptq,layer4.2.conv2,16.87302017211914,9.97972529148683e-05,0.003661679724852244,2.165738995548357e-08,7.930242569321283e-11,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.2.conv2,17.48332977294922,9.418989793630317e-05,0.0037941253847546047,2.044051604520468e-08,7.755388080459488e-11,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.2.conv2,17.176982879638672,7.549356087110937e-05,0.0037276438540882533,1.6383151230709498e-08,6.107055299575266e-11,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.2.conv2,17.177777608235676,8.982690390742694e-05,0.0037278163212317006,1.949368574379925e-08,7.266887987669657e-11,4.660090577101047e-05,aggregate,3,0.3051555765695582
resnet50_no_weights,IMAGENET100,ptq,layer4.2.conv3,1.3515732288360596,0.0005569151253439486,0.002639791462570429,2.719312135468499e-07,7.178416959273905e-10,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.2.conv3,1.4645847082138062,0.0006686049746349454,0.00286051700823009,3.2646727277096943e-07,9.338651863918502e-10,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.2.conv3,1.441258430480957,0.00043152726721018553,0.002814957872033119,2.107066734424734e-07,5.931304090968023e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.2.conv3,1.419138789176941,0.0005523491223963598,0.0027717554476112127,2.6970171992009756e-07,7.47547211418644e-10,0.00013442267510173326,aggregate,3,0.059664541533061846
resnet18_no_weights,IMAGENET100,fp32_unfused,conv1,199.3906707763672,1.6035328087582457e-07,1.356399120927668,5.113306150377059e-11,6.935683967405481e-11,,42,3,
resnet18_no_weights,IMAGENET100,fp32_unfused,conv1,197.70016479492188,1.927563459958037e-07,1.3448990802375638,6.146567155478435e-11,8.266512514021366e-11,,43,3,
resnet18_no_weights,IMAGENET100,fp32_unfused,conv1,178.06353759765625,4.7202984632122025e-08,1.2113165822969814,1.5051972140345033e-11,1.8232703449872126e-11,,44,3,
resnet18_no_weights,IMAGENET100,fp32_unfused,conv1,191.71812438964844,1.3343753716791676e-07,1.3042049278207377,4.255023506629999e-11,5.5494226253399204e-11,0.00453936320925197,aggregate,3,11.855389405808703
resnet18_no_weights,IMAGENET100,fp32_unfused,fc,155.5860595703125,0.0005270186811685562,0.3038790225982666,5.270186811685562e-06,1.6014992172452834e-06,,42,3,
