model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99,seed,n_seeds,metric_std
cnn,CIFAR10,PTQ,fc1,-2.99546217918396,4.414804458618164,7.410266637802124,0.029059870168566704,103,0.7724232077598572,1.469920039176941,2.7504642009735107,3.5608254300777267,9.593531840262807,44,3,
cnn,CIFAR10,PTQ,fc2,-11.027742385864258,24.864330291748047,35.892072677612305,0.14075323939323425,78,12.719367980957031,14.627483367919922,14.63684368133545,1.1507524354393388,2.8218440359103214,44,3,
cnn,CIFAR10,PTQ,conv1,-8.091721534729004,7.558411121368408,15.650132656097412,0.06137306988239288,132,1.601857582728068,2.8042933146158853,6.78237263361613,4.233774954829011,9.773881539131892,aggregate,3,0.4943636681515103
cnn,CIFAR10,PTQ,conv2,-8.328008651733398,4.754361152648926,13.082369804382324,0.05130341276526451,162,0.8620924353599548,1.5072436730066936,3.827175776163737,4.4386571910218935,15.18236316968622,aggregate,3,0.23078383016808107
cnn,CIFAR10,PTQ,conv3,-5.947083473205566,3.1554296016693115,9.102513074874878,0.035696130245923996,167,0.5332457621892294,1.0122899611790974,3.1514569918314614,5.910093885838823,17.076411521786632,aggregate,3,0.25999145648305433
cnn,CIFAR10,PTQ,conv4,-3.486232280731201,3.6537742614746094,7.1400065422058105,0.02800002507865429,125,0.8624915877978007,1.5309398174285889,4.102057377497355,4.757382828851534,8.284091242855363,aggregate,3,0.2927602047991047
cnn,CIFAR10,PTQ,fc1,-2.99546217918396,4.414804458618164,7.410266637802124,0.029059870168566704,103,0.7340108553568522,1.4393311341603596,3.498981793721517,4.797220655393434,10.110811460866763,aggregate,3,1.0893682094409336
cnn,CIFAR10,PTQ,fc2,-11.027742385864258,24.864330291748047,35.892072677612305,0.14075323939323425,78,10.92795467376709,16.209883371988933,20.213688850402832,1.914124166668429,3.3367007529250157,aggregate,3,0.6625768955250569
cnn,CIFAR10,QAT,conv1,-7.891393661499023,7.664823532104492,15.556217193603516,0.061004772782325745,129,1.53438401222229,2.7226438522338867,6.802039623260498,4.43307514225785,10.138411942309686,42,3,
cnn,CIFAR10,QAT,conv2,-7.543217182159424,5.159477710723877,12.7026948928833,0.04981448873877525,151,0.7948739528656006,1.4166313409805298,4.342087745666504,5.462611688322206,15.980766317840468,42,3,
cnn,CIFAR10,QAT,conv3,-5.9195451736450195,3.538827419281006,9.458372592926025,0.03709165379405022,160,0.5148761868476868,1.006534457206726,2.9107022285461426,5.653208097206487,18.37018847353305,42,3,
cnn,CIFAR10,QAT,conv4,-3.473512649536133,4.190702438354492,7.664215087890625,0.03005574457347393,116,0.8909173607826233,1.5601322650909424,3.8616867065429688,4.334506068161791,8.602610550947196,42,3,
cnn,CIFAR10,QAT,fc1,-2.726262331008911,4.269510269165039,6.99577260017395,0.027434401214122772,99,0.8504992723464966,1.6095924377441406,3.8046603202819824,4.473443357317712,8.225489224550266,42,3,
cnn,CIFAR10,QAT,fc2,-10.82536792755127,24.74535369873047,35.57072162628174,0.13949301838874817,78,11.776378631591797,19.988414764404297,23.208309173583984,1.9707509328312882,3.0205144330922122,42,3,
cnn,CIFAR10,QAT,conv1,-7.891393661499023,7.664823532104492,15.556217193603516,0.061004772782325745,129,1.5196505784988403,2.665006637573242,6.16401481628418,4.056205356347899,10.236706657243829,43,3,
