model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param,seed,n_seeds,metric_std
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,47.9351806640625,1.5830412394279847e-06,0.020805199940999348,6.870838712795072e-10,1.4294917318206008e-11,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,49.091888427734375,3.4356639844190795e-06,0.021307243241204157,1.4911736043485588e-09,3.177279870271787e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,51.05247116088867,1.1460824680398218e-06,0.022158190608024597,4.974316267533949e-10,1.1022184800061472e-11,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.1.conv1,49.35984675089518,2.054929230628962e-06,0.0214235445967427,8.91896367460487e-10,1.910758160396256e-11,0.00014664588744640428,aggregate,3,1.5758255796927698
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,11.866881370544434,4.256062311469577e-06,0.005150556150409911,1.8472492671308929e-09,9.51436107416122e-12,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,12.486897468566895,8.470659849990625e-06,0.005419660359621048,3.6765016710028755e-09,1.9925390368414826e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,12.708078384399414,3.1317592856794363e-06,0.00551565902100669,1.3592705232983664e-09,7.497272723819119e-12,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.1.conv2,12.353952407836914,5.28616048237988e-06,0.005361958510345883,2.294340487144045e-09,1.230215850067313e-11,9.26376476897883e-05,aggregate,3,0.43607212237083864
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,71.78006744384766,5.225531822361518e-06,0.031154543161392212,1.1340129822833154e-09,3.532965640212465e-11,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,75.27508544921875,1.0149847184948158e-05,0.03267147805955675,2.202657809233541e-09,7.196408628708497e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,75.5652847290039,3.850721896014875e-06,0.03279743260807461,8.356601336837836e-10,2.740750691774851e-11,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.conv1,74.20681254069011,6.408700301108183e-06,0.03220781794300786,1.39077697506688e-09,4.4793891612281246e-11,5.4270384627488e-05,aggregate,3,2.106625911091858
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,23.110992431640625,1.3747208868153393e-05,0.005015406343672011,2.9833352578457886e-09,1.4962638577500142e-11,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,25.057031631469727,2.3077187506714836e-05,0.005437723878357146,5.008070205450268e-09,2.72325029406659e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,24.046497344970703,9.629447959014215e-06,0.005218423902988434,2.0897239494388486e-09,1.0905065408399081e-11,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.conv2,24.07150713602702,1.5484614777960815e-05,0.005223851375005864,3.360376470911635e-09,1.75541072481091e-11,2.376474117183057e-05,aggregate,3,0.973260632643889
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.downsample.0,9.50400161743164,1.5143536984396633e-05,0.037125006318092346,2.9577220672649673e-08,1.0980545043437307e-09,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.downsample.0,9.884984970092773,2.5962935978895985e-05,0.038613222539424896,5.070885933378122e-08,1.9580324701756875e-09,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.downsample.0,9.951592445373535,1.0667447895684745e-05,0.03887340798974037,2.0834859171259268e-08,8.099219809731455e-10,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.0.downsample.0,9.780193010965982,1.7257973619659122e-05,0.03820387894908587,3.370697972589672e-08,1.28773737318745e-09,0.00022223603823599784,aggregate,3,0.2414961766522419
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.1.conv1,70.64845275878906,3.3213132155651692e-06,0.015331695477167765,7.207710971278579e-10,1.1050642969908427e-11,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.1.conv1,79.8122787475586,5.420236448117066e-06,0.017320372992091708,1.1762665903031828e-09,2.037337608218705e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.1.conv1,73.27936553955078,2.385249672443024e-06,0.015902640091048345,5.17632307387809e-10,8.23172028388723e-12,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.1.conv1,74.58003234863281,3.7089331120417532e-06,0.01618490285343594,8.048899982729499e-10,1.3027066429749916e-11,2.2413599508833907e-05,aggregate,3,4.718339464186283
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.1.conv2,25.21042823791504,2.338547119506984e-06,0.005471013072464202,5.074972047541197e-10,2.7765238414488308e-12,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.1.conv2,29.75398063659668,3.8115467759780586e-06,0.006457027047872543,8.27158588536905e-10,5.340985379062872e-12,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.1.conv2,24.8955135345459,1.8880670040744008e-06,0.005402672208017773,4.097367630369793e-10,2.213673422263052e-12,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.1.conv2,26.61997413635254,2.6793869665198145e-06,0.005776904109451506,5.814641854426681e-10,3.359062842382622e-12,7.332386993978196e-06,aggregate,3,2.7186927695638787
resnet18_no_weights,CIFAR10,fp32_fused,conv1,42.071197509765625,6.297785262177058e-07,1.5581925003616899,1.0933654969057391e-09,1.7036739174327553e-09,,42,3,
resnet18_no_weights,CIFAR10,fp32_fused,conv1,39.1317138671875,1.8313796772417845e-06,1.4493227358217593,3.1794786063225424e-09,4.608090632202142e-09,,43,3,
resnet18_no_weights,CIFAR10,fp32_fused,conv1,38.804786682128906,4.1214144630430383e-07,1.43721432156033,7.155233442783052e-10,1.0283603978075227e-09,,44,3,
resnet18_no_weights,CIFAR10,fp32_fused,conv1,40.00256601969401,9.577665499212646e-07,1.4815765192479264,1.6627891491688623e-09,2.4635493598688243e-09,0.1431802531961041,aggregate,3,1.7989295504186693
resnet18_no_weights,CIFAR10,fp32_fused,fc,31.341955184936523,3.1384206522488967e-05,0.06121475622057915,3.1384206522488967e-06,1.921176551450472e-07,,42,3,
resnet18_no_weights,CIFAR10,fp32_fused,fc,35.75008010864258,5.0418089813319966e-05,0.06982437521219254,5.041808981331996e-06,3.5204116206072755e-07,,43,3,
resnet18_no_weights,CIFAR10,fp32_fused,fc,31.78485679626465,2.8603244572877884e-05,0.06207979843020439,2.8603244572877884e-06,1.7756836575340967e-07,,44,3,
resnet18_no_weights,CIFAR10,fp32_fused,fc,32.958964029947914,3.680184696956227e-05,0.06437297662099202,3.6801846969562273e-06,2.369044434580958e-07,0.0008509429424691338,aggregate,3,2.4273003899167818
resnet18_no_weights,CIFAR10,fp32_fused,layer1.0.conv1,30.20819664001465,1.853081101899079e-07,0.052444785833358765,3.217154690797012e-10,1.6872298875163483e-11,,42,3,
resnet18_no_weights,CIFAR10,fp32_fused,layer1.0.conv1,29.903135299682617,5.252319397186511e-07,0.05191516545083788,9.118610064559916e-10,4.733941501833035e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_fused,layer1.0.conv1,30.228559494018555,1.2460297682537202e-07,0.05248013801044888,2.1632461254404867e-10,1.1352745521368555e-11,,44,3,
resnet18_no_weights,CIFAR10,fp32_fused,layer1.0.conv1,30.11329714457194,2.7838100891131035e-07,0.052280029764881844,4.833003626932472e-10,2.5266957346981153e-11,0.002858336057562589,aggregate,3,0.1822900497593299
resnet18_no_weights,CIFAR10,fp32_fused,layer1.0.conv2,17.879547119140625,9.293707137203455e-08,0.031040880415174697,1.6134908224311553e-10,5.0084175670067364e-12,,42,3,
resnet18_no_weights,CIFAR10,fp32_fused,layer1.0.conv2,17.693204879760742,2.2939211419270578e-07,0.030717369582917955,3.982501982512253e-10,1.2233198526153234e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_fused,layer1.0.conv2,18.086278915405273,6.412436448499648e-08,0.03139978978368971,1.113270216753411e-10,3.495645077849978e-12,,44,3,
resnet18_no_weights,CIFAR10,fp32_fused,layer1.0.conv2,17.886343638102215,1.2881785001657894e-07,0.031052679927260785,2.236421007232273e-10,6.9446865720185955e-12,0.0017452064296632184,aggregate,3,0.19662513541499718
resnet18_no_weights,CIFAR10,fp32_fused,layer1.1.conv1,60.5637092590332,1.0896403779270258e-07,0.10514532857471043,1.8917367672344199e-10,1.9890728396772356e-11,,42,3,
resnet18_no_weights,CIFAR10,fp32_fused,layer1.1.conv1,59.76864242553711,2.7982378014712594e-07,0.10376500421100193,4.858051738665381e-10,5.040957591198785e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_fused,layer1.1.conv1,61.92095947265625,7.547861713419479e-08,0.10750166575113933,1.3103926585797707e-10,1.4086939358538934e-11,,44,3,
resnet18_no_weights,CIFAR10,fp32_fused,layer1.1.conv1,60.75110371907552,1.5475547835800776e-07,0.10547066617895057,2.6867270548265236e-10,2.833708923135633e-11,0.010761441652805953,aggregate,3,1.088326550521868
resnet18_no_weights,CIFAR10,fp32_fused,layer1.1.conv2,11.144362449645996,8.288436958991952e-08,0.019347851475079853,1.4389647498249916e-10,2.7840876257489377e-12,,42,3,
resnet18_no_weights,CIFAR10,fp32_fused,layer1.1.conv2,10.945436477661133,1.9110233040464664e-07,0.019002493884828355,3.3177487917473375e-10,6.304550112657544e-12,,43,3,
