model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.3.conv1,layer3.3.conv1,"(256, 1024, 1, 1)",16.732070229270242,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.3.conv1,layer3.3.conv1,"(256, 1024, 1, 1)",17.017160717063227,aggregate,3,0.5239662094121931
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.3.conv2,layer3.3.conv2,"(256, 256, 3, 3)",29.721752783831427,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.3.conv2,layer3.3.conv2,"(256, 256, 3, 3)",35.37535540262858,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.3.conv2,layer3.3.conv2,"(256, 256, 3, 3)",31.495519483411634,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.3.conv2,layer3.3.conv2,"(256, 256, 3, 3)",32.19754255662388,aggregate,3,2.891441325586476
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.3.conv3,layer3.3.conv3,"(1024, 256, 1, 1)",15.768285295237666,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.3.conv3,layer3.3.conv3,"(1024, 256, 1, 1)",14.3153888185819,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.3.conv3,layer3.3.conv3,"(1024, 256, 1, 1)",17.75535786151886,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.3.conv3,layer3.3.conv3,"(1024, 256, 1, 1)",15.946343991779475,aggregate,3,1.7268831543135112
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.4.conv1,layer3.4.conv1,"(256, 1024, 1, 1)",17.966425514221193,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.4.conv1,layer3.4.conv1,"(256, 1024, 1, 1)",17.503366152445476,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.4.conv1,layer3.4.conv1,"(256, 1024, 1, 1)",19.39453012293035,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.4.conv1,layer3.4.conv1,"(256, 1024, 1, 1)",18.288107263199006,aggregate,3,0.9857660227123365
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.4.conv2,layer3.4.conv2,"(256, 256, 3, 3)",31.5394023548473,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.4.conv2,layer3.4.conv2,"(256, 256, 3, 3)",26.75070849524604,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.4.conv2,layer3.4.conv2,"(256, 256, 3, 3)",31.178786822727748,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.4.conv2,layer3.4.conv2,"(256, 256, 3, 3)",29.822965890940363,aggregate,3,2.6667555230186197
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.4.conv3,layer3.4.conv3,"(1024, 256, 1, 1)",12.098396513197157,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.4.conv3,layer3.4.conv3,"(1024, 256, 1, 1)",15.205800027558297,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.4.conv3,layer3.4.conv3,"(1024, 256, 1, 1)",15.489930311838785,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.4.conv3,layer3.4.conv3,"(1024, 256, 1, 1)",14.264708950864746,aggregate,3,1.8814528130692776
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.5.conv1,layer3.5.conv1,"(256, 1024, 1, 1)",18.090497085026332,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.5.conv1,layer3.5.conv1,"(256, 1024, 1, 1)",18.742629253503047,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.5.conv1,layer3.5.conv1,"(256, 1024, 1, 1)",14.202176729838053,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.5.conv1,layer3.5.conv1,"(256, 1024, 1, 1)",17.01176768945581,aggregate,3,2.4549277202322903
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.5.conv2,layer3.5.conv2,"(256, 256, 3, 3)",13.500013545155525,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.5.conv2,layer3.5.conv2,"(256, 256, 3, 3)",13.755586478445265,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.5.conv2,layer3.5.conv2,"(256, 256, 3, 3)",15.844125556945801,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.5.conv2,layer3.5.conv2,"(256, 256, 3, 3)",14.36657519351553,aggregate,3,1.2859609980136546
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.5.conv3,layer3.5.conv3,"(1024, 256, 1, 1)",6.5622212254271215,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.5.conv3,layer3.5.conv3,"(1024, 256, 1, 1)",6.370352113948149,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.5.conv3,layer3.5.conv3,"(1024, 256, 1, 1)",7.111292815208435,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.5.conv3,layer3.5.conv3,"(1024, 256, 1, 1)",6.681288718194568,aggregate,3,0.38455309330632803
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer4.0.conv1,layer4.0.conv1,"(512, 1024, 1, 1)",26.205838276789738,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer4.0.conv1,layer4.0.conv1,"(512, 1024, 1, 1)",28.317097028096516,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer4.0.conv1,layer4.0.conv1,"(512, 1024, 1, 1)",27.28321531656626,44,3,
