model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts,abs_weight_damage_pts
resnet18_no_weights,CIFAR10,QAT,conv1,176.34345362749812,0.23259574174880981,0.0001346040172157464,41.01673639903477,84.69,90.05,-5.359999999999999,5.359999999999999
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1,62.16371426563926,0.7567124366760254,2.052713858170642e-05,47.04005569478408,84.69,89.84,-5.150000000000006,5.150000000000006
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2,40.24097853477555,1.7405531406402588,4.721552573351396e-05,70.04156157114082,84.69,89.56,-4.8700000000000045,4.8700000000000045
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1,237.2372692530052,0.42245107889175415,1.1459718936950796e-05,100.22114034926562,84.69,89.98,-5.290000000000006,5.290000000000006
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2,25.68458621331644,2.0505497455596924,5.562472183050381e-05,52.66752172452201,84.69,89.83,-5.140000000000001,5.140000000000001
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1,158.73478615330356,0.5602487325668335,7.598859762462477e-06,88.93096275665567,84.69,89.88,-5.189999999999998,5.189999999999998
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2,30.952400466204317,4.71138858795166,3.195114873556627e-05,145.82878632618466,84.69,90.06,-5.3700000000000045,5.3700000000000045
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0,16.488698082850693,1.8253289461135864,0.00022281847486738116,30.09729789435497,84.69,89.84,-5.150000000000006,5.150000000000006
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1,106.41216701350118,1.1619492769241333,7.879972852404333e-06,123.6455405172678,84.69,89.84,-5.150000000000006,5.150000000000006
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2,14.962300198159992,4.907201290130615,3.32790886103693e-05,73.42301883573228,84.69,89.96,-5.269999999999996,5.269999999999996
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1,191.3392210754037,1.619551658630371,5.491643807747298e-06,309.88375285371336,84.69,89.8,-5.109999999999999,5.109999999999999
