model,dataset,stage,config,batch,fp32_latency_ms,int8_latency_ms,fp32_throughput_ips,int8_throughput_ips,speedup_x
resnet18_no_weights,CIFAR10,PTQ,int8_dynamic_act,512,12.200159020721912,13.513976708054543,41966.66610085741,37886.701380418985,0.9027808234603828
resnet18_no_weights,CIFAR10,PTQ,int8_weight_only,1024,23.557535838335752,21.377151366323233,43468.04381524573,47901.611512802934,1.1019960253192302
resnet18_no_weights,CIFAR10,PTQ,int8_dynamic_act,1024,23.557535838335752,24.26414145156741,43468.04381524573,42202.19380289888,0.9708786064142396
resnet18_no_weights,CIFAR10,PTQ,int8_weight_only,2048,45.965596567839384,41.54842905700207,44555.061892374484,49291.87568536613,1.1063137069461089
resnet18_no_weights,CIFAR10,PTQ,int8_dynamic_act,2048,45.965596567839384,45.48776149749756,44555.061892374484,45023.09923764149,1.0105046952105592
resnet18_no_weights,CIFAR10,QAT,int8_weight_only,1,2.511492930352688,1.9959579221904278,398.16954605544936,501.01256588744525,1.258289517244179
resnet18_no_weights,CIFAR10,QAT,int8_dynamic_act,1,2.511492930352688,13.765236362814903,398.16954605544936,72.64677290259812,0.18245185655781238
resnet18_no_weights,CIFAR10,QAT,int8_weight_only,2,2.5288518518209457,2.0116977393627167,790.8727427270458,994.1851406730603,1.257073467021968
resnet18_no_weights,CIFAR10,QAT,int8_dynamic_act,2,2.5288518518209457,5.911961197853088,790.8727427270458,338.2972135754704,0.4277517675080971
resnet18_no_weights,CIFAR10,QAT,int8_weight_only,4,2.4743080139160156,1.957438886165619,1616.6136057043745,2043.4865314418607,1.2640537752690095
resnet18_no_weights,CIFAR10,QAT,int8_dynamic_act,4,2.4743080139160156,6.194279994815588,1616.6136057043745,645.7570538218922,0.3994504633285759
resnet18_no_weights,CIFAR10,QAT,int8_weight_only,8,2.5160820223391056,2.0006978884339333,3179.5465843210886,3998.604710010506,1.2576021781622384
resnet18_no_weights,CIFAR10,QAT,int8_dynamic_act,8,2.5160820223391056,6.624071858823299,3179.5465843210886,1207.716366987166,0.3798391798826383
resnet18_no_weights,CIFAR10,QAT,int8_weight_only,16,2.4967179633677006,1.9803326576948166,6408.4130585652465,8079.4506608928095,1.2607568499496324
resnet18_no_weights,CIFAR10,QAT,int8_dynamic_act,16,2.4967179633677006,6.619121413677931,6408.4130585652465,2417.2392376633507,0.37719778915195834
resnet18_no_weights,CIFAR10,QAT,int8_weight_only,32,2.5206422433257103,1.994153019040823,12695.177225062895,16046.91299737461,1.2640164617548386
resnet18_no_weights,CIFAR10,QAT,int8_dynamic_act,32,2.5206422433257103,6.653936114162207,12695.177225062895,4809.183534523475,0.37881972415707255
resnet18_no_weights,CIFAR10,QAT,int8_weight_only,64,2.5920658372342587,2.051842398941517,24690.73087599047,31191.4794396566,1.2632870041926352
resnet18_no_weights,CIFAR10,QAT,int8_dynamic_act,64,2.5920658372342587,6.74372399225831,24690.73087599047,9490.305367401008,0.3843671301212668
resnet18_no_weights,CIFAR10,QAT,int8_weight_only,128,3.6393431946635246,3.30704590305686,35171.18148892639,38705.23837654733,1.1004816084649767
resnet18_no_weights,CIFAR10,QAT,int8_dynamic_act,128,3.6393431946635246,7.428278680890799,35171.18148892639,17231.448293570247,0.4899308912609475
resnet18_no_weights,CIFAR10,QAT,int8_weight_only,256,6.442385260015726,5.84630761295557,39736.83498701148,43788.32195430451,1.1019579684345093
resnet18_no_weights,CIFAR10,QAT,int8_dynamic_act,256,6.442385260015726,7.997396867722273,39736.83498701148,32010.41591836257,0.8055602799977803
resnet18_no_weights,CIFAR10,QAT,int8_weight_only,512,12.199368793517351,11.097933165729046,41969.384536687896,46134.71646964687,1.0992469148390254
resnet18_no_weights,CIFAR10,QAT,int8_dynamic_act,512,12.199368793517351,13.55666108429432,41969.384536687896,37767.41166696001,0.8998800455113966
resnet18_no_weights,CIFAR10,QAT,int8_weight_only,1024,23.549221456050873,21.371006965637207,43483.39081659481,47915.38375550139,1.101923811728481
resnet18_no_weights,CIFAR10,QAT,int8_dynamic_act,1024,23.549221456050873,24.29331513121724,43483.39081659481,42151.51347063975,0.9693704349880927
resnet18_no_weights,CIFAR10,QAT,int8_weight_only,2048,45.9634312428534,41.55028937384486,44557.16086945602,49289.66875713694,1.10621206098715
resnet18_no_weights,CIFAR10,QAT,int8_dynamic_act,2048,45.9634312428534,45.360859017819166,44557.16086945602,45149.0567935559,1.013283968559712
resnet50_no_weights,CIFAR10,PTQ,int8_weight_only,1,6.113296840339899,5.180016625672579,163.57785759744002,193.0495734403476,1.1801693473418422
resnet50_no_weights,CIFAR10,PTQ,int8_dynamic_act,1,6.113296840339899,13.525701593607664,163.57785759744002,73.93331821490182,0.45197632063900356
resnet50_no_weights,CIFAR10,PTQ,int8_weight_only,2,5.998814478516579,5.082128569483757,333.3992086540692,393.53589202942186,1.1803744034610164
resnet50_no_weights,CIFAR10,PTQ,int8_dynamic_act,2,5.998814478516579,13.632639311254025,333.3992086540692,146.70673479558423,0.44003324239382124
resnet50_no_weights,CIFAR10,PTQ,int8_weight_only,4,5.985009483993053,5.099097266793251,668.3364513787365,784.4525787042973,1.1737390308220066
resnet50_no_weights,CIFAR10,PTQ,int8_dynamic_act,4,5.985009483993053,14.012291096150875,668.3364513787365,285.4636670443412,0.42712568864895434
resnet50_no_weights,CIFAR10,PTQ,int8_weight_only,8,5.999110173434019,5.101628135889769,1333.5311019001722,1568.1268385126486,1.1759207087695194
resnet50_no_weights,CIFAR10,PTQ,int8_dynamic_act,8,5.999110173434019,14.414652716368437,1333.5311019001722,554.9908247817631,0.4161813878888515
resnet50_no_weights,CIFAR10,PTQ,int8_weight_only,16,6.075708195567131,5.142407026141882,2633.4378618896944,3111.3834277727497,1.1814911119794154
resnet50_no_weights,CIFAR10,PTQ,int8_dynamic_act,16,6.075708195567131,14.448317233473063,2633.4378618896944,1107.3953970869413,0.42051320561340294
resnet50_no_weights,CIFAR10,PTQ,int8_weight_only,32,6.206689868122339,5.247990135103464,5155.727236244318,6097.572437484988,1.1826794083712535
resnet50_no_weights,CIFAR10,PTQ,int8_dynamic_act,32,6.206689868122339,15.39264665916562,5155.727236244318,2078.9147382231017,0.40322434507561034
resnet50_no_weights,CIFAR10,PTQ,int8_weight_only,64,7.6853991486132145,7.257082033902407,8327.478997827775,8818.971550964374,1.0590205695222774
resnet50_no_weights,CIFAR10,PTQ,int8_dynamic_act,64,7.6853991486132145,15.534024219959974,8327.478997827775,4119.988426293628,0.49474618037083357
resnet50_no_weights,CIFAR10,PTQ,int8_weight_only,128,14.55956930294633,13.859028927981853,8791.468850256268,9235.856326236799,1.0505475801085933
resnet50_no_weights,CIFAR10,PTQ,int8_dynamic_act,128,14.55956930294633,17.113415990024805,8791.468850256268,7479.511984901763,0.850769321065585
resnet50_no_weights,CIFAR10,PTQ,int8_weight_only,256,26.67598146945238,25.411697570234537,9596.64784192307,10074.100688962246,1.049752044141228
resnet50_no_weights,CIFAR10,PTQ,int8_dynamic_act,256,26.67598146945238,28.99143658578396,9596.64784192307,8830.1936760709,0.9201331362286832
resnet50_no_weights,CIFAR10,PTQ,int8_weight_only,512,50.87730288505554,48.46314433962107,10063.426537305546,10564.729279883191,1.0498143192797496
resnet50_no_weights,CIFAR10,PTQ,int8_dynamic_act,512,50.87730288505554,52.94286971911788,10063.426537305546,9670.801804215664,0.9609849854187927
resnet50_no_weights,CIFAR10,PTQ,int8_weight_only,1024,99.04573857784271,94.23363395035267,10338.65782317541,10866.608418598164,1.0510656803283773
resnet50_no_weights,CIFAR10,PTQ,int8_dynamic_act,1024,99.04573857784271,100.65439017489552,10338.65782317541,10173.42609915686,0.9840180682207935
resnet50_no_weights,CIFAR10,PTQ,int8_weight_only,2048,195.2993106096983,185.56008487939835,10486.468147820995,11036.856344030362,1.052485564105178
resnet50_no_weights,CIFAR10,PTQ,int8_dynamic_act,2048,195.2993106096983,202.12637120857835,10486.468147820995,10132.275109647255,0.966223800694294
resnet50_no_weights,CIFAR10,QAT,int8_weight_only,1,6.057283375412226,5.1331776194274426,165.09050972573087,194.81110418141748,1.180026062703799
resnet50_no_weights,CIFAR10,QAT,int8_dynamic_act,1,6.057283375412226,13.45039252191782,165.09050972573087,74.34727264430907,0.4503424985956135
resnet50_no_weights,CIFAR10,QAT,int8_weight_only,2,5.972115322947502,5.038514267653227,334.8897152597033,396.9424107498923,1.1852929267835766
resnet50_no_weights,CIFAR10,QAT,int8_dynamic_act,2,5.972115322947502,13.524697162210941,334.8897152597033,147.87761796161735,0.4415710940747759
resnet50_no_weights,CIFAR10,QAT,int8_weight_only,4,5.984655115753412,5.073633976280689,668.3760254573061,788.3895485366222,1.1795598862140548
